threshold,n_samples,true_positive,false_positive,true_negative,false_negative,precision,recall,specificity,false_positive_rate,f1,accuracy,predicted_positive_rate,average_precision,roc_auc,brier_score,expected_calibration_error,simulated_cost,simulated_cost_per_10000
0.0,47030,20060,26970,0,0,0.4265362534552413,1.0,0.0,1.0,0.5980026829631838,0.4265362534552413,1.0,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,53940.0,11469.274930895172
0.01,47030,12939,440,26530,7121,0.9671126392107033,0.6450149551345962,0.9836855765665554,0.016314423433444566,0.7738867789108526,0.8392302785456092,0.28447799277057195,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,178905.0,38040.612375079734
0.02,47030,12939,440,26530,7121,0.9671126392107033,0.6450149551345962,0.9836855765665554,0.016314423433444566,0.7738867789108526,0.8392302785456092,0.28447799277057195,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,178905.0,38040.612375079734
0.03,47030,4798,440,26530,15262,0.9159984726995036,0.23918245264207377,0.9836855765665554,0.016314423433444566,0.3793185232034153,0.6661280034020838,0.11137571762704657,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,382430.0,81316.18116096109
0.04,47030,4499,440,26530,15561,0.910913140311804,0.22427716849451645,0.9836855765665554,0.016314423433444566,0.35993439737589505,0.6597703593450989,0.10501807357006167,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,389905.0,82905.59217520732
0.05,47030,4499,440,26530,15561,0.910913140311804,0.22427716849451645,0.9836855765665554,0.016314423433444566,0.35993439737589505,0.6597703593450989,0.10501807357006167,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,389905.0,82905.59217520732
0.06,47030,3702,103,26867,16358,0.9729303547963206,0.18454636091724824,0.996180941787171,0.003819058212829069,0.31024512884978,0.649989368488199,0.08090580480544333,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,409156.0,86998.93684881991
0.07,47030,3702,103,26867,16358,0.9729303547963206,0.18454636091724824,0.996180941787171,0.003819058212829069,0.31024512884978,0.649989368488199,0.08090580480544333,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,409156.0,86998.93684881991
0.08,47030,2505,103,26867,17555,0.9605061349693251,0.1248753738783649,0.996180941787171,0.003819058212829069,0.22101641079936474,0.6245375292366575,0.055453965553901766,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,439081.0,93361.8966617053
0.09,47030,2167,76,26894,17893,0.966116807846634,0.1080259222333001,0.9971820541342232,0.002817945865776789,0.19432363359189347,0.6179247288964491,0.047692961939187754,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,447477.0,95147.14012332555
0.1,47030,2167,76,26894,17893,0.966116807846634,0.1080259222333001,0.9971820541342232,0.002817945865776789,0.19432363359189347,0.6179247288964491,0.047692961939187754,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,447477.0,95147.14012332555
0.11,47030,1913,56,26914,18147,0.9715591670898933,0.09536390827517448,0.9979236188357434,0.0020763811642565814,0.1736801488946389,0.6129491813735913,0.041866893472251754,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,453787.0,96488.83691260897
0.12,47030,1877,56,26914,18183,0.9710294878427315,0.09356929212362912,0.9979236188357434,0.0020763811642565814,0.17069067430546084,0.6121837125239209,0.04110142462258133,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,454687.0,96680.20412502658
0.13,47030,1191,0,26970,18869,1.0,0.05937188434695912,1.0,0.0,0.11208884287798221,0.5987880076546885,0.025324261109929833,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,471725.0,100302.99808632786
0.14,47030,1064,0,26970,18996,1.0,0.05304087736789631,1.0,0.0,0.10073849649687559,0.59608760365724,0.022623857112481396,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,474900.0,100978.09908568997
0.15,47030,749,0,26970,19311,1.0,0.037337986041874376,1.0,0.0,0.07198808207986929,0.5893897512226238,0.01592600467786519,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,482775.0,102652.56219434403
0.16,47030,695,0,26970,19365,1.0,0.03464606181455633,1.0,0.0,0.0669718140207179,0.5882415479481182,0.014777801403359558,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,484125.0,102939.61301297044
0.17,47030,609,0,26970,19451,1.0,0.030358923230309073,1.0,0.0,0.0589288306158982,0.58641292791835,0.012949181373591325,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,486275.0,103396.7680204125
0.18,47030,581,0,26970,19479,1.0,0.028963110667996013,1.0,0.0,0.05629572210648709,0.5858175632574952,0.01235381671273655,0.7745391180964103,0.8119937175865802,0.39844778864554536,0.4104709759727833,486975.0,103545.60918562619
