direction,rank,ngram,coefficient
phishing,1,m/,13.560029805678056
phishing,2,om/,13.20770852825084
phishing,3,com/,13.172970509835105
phishing,4,.com/,13.160666753023062
phishing,5,.cf,9.129886598948035
phishing,6,.ga,8.293546582877225
phishing,7,e/,8.113718536651955
phishing,8,o/,8.092473406247251
phishing,9,t/,6.919672683338622
phishing,10,.w,6.771703305842527
phishing,11,.ml,6.655350194012844
phishing,12,r/,6.486095202805447
phishing,13,cf,6.081908996145646
phishing,14,p/,5.978879544803946
phishing,15,u/,5.9153725139277356
phishing,16,n/,5.421482811954195
phishing,17,.x,5.3298296187467935
phishing,18,ml,5.1858574707568295
phishing,19,.top,5.096753058379439
phishing,20,s/,5.076193709598235
phishing,21,.gq,4.7969700229164225
phishing,22,g/,4.697929259418366
phishing,23,gq,4.618357656677558
phishing,24,xy,4.576521450512941
phishing,25,.to,4.500295635428122
phishing,26,/a,4.457210353405627
phishing,27,k/,4.39429929641919
phishing,28,l/,4.3515715209183305
phishing,29,.p,4.332798958201922
phishing,30,d/,4.306207219825131
phishing,31,.we,4.226830383225032
phishing,32,dns,4.1448623018417035
phishing,33,1.,4.113576499135924
phishing,34,.g,3.976172897239892
phishing,35,.rep,3.967383459214088
phishing,36,.t,3.9108430442314974
phishing,37,co/,3.8936590570030103
phishing,38,epl.c,3.8656889418258618
phishing,39,.repl,3.865569220156327
phishing,40,.co/,3.8393248924957275
phishing,41,.m,3.835344195115246
phishing,42,.php,3.8061168047885148
phishing,43,.re,3.761970891673949
phishing,44,epl.,3.7558497403687356
phishing,45,repl.,3.7527236834341493
phishing,46,3.,3.74084613878613
phishing,47,/c,3.7270760992675838
phishing,48,/s,3.707617288128107
phishing,49,.org/,3.6131284885174484
phishing,50,org/,3.612909036191228
legitimate,1,.go,-6.257925170010421
legitimate,2,.gov,-5.904093505144032
legitimate,3,.it,-5.702746771285424
legitimate,4,.jp,-5.04977567439688
legitimate,5,.de,-4.793784445981025
legitimate,6,.or,-4.645155391764473
legitimate,7,.ed,-4.634787616256868
legitimate,8,.edu,-4.614990226452146
legitimate,9,.be,-4.608340605355408
legitimate,10,.org,-4.564673524602085
legitimate,11,.ca,-4.500278095965612
legitimate,12,.gr,-4.4354137791658115
legitimate,13,.se,-4.404124637863862
legitimate,14,.fr,-4.261128219214508
legitimate,15,.nl,-4.146543641896798
legitimate,16,gov,-4.091418184662288
legitimate,17,.cz,-3.9778602915487133
legitimate,18,.pt,-3.6990401910793516
legitimate,19,.ie,-3.6880599271863233
legitimate,20,.ro,-3.6082976700618423
legitimate,21,.com,-3.485658984989629
legitimate,22,org,-3.458975823845305
legitimate,23,.hr,-3.388162195071362
legitimate,24,edu,-3.2343175292342026
legitimate,25,.ch,-3.16826658479649
legitimate,26,.uk,-3.1209390674476483
legitimate,27,.sk,-3.0403130357925825
legitimate,28,.tv,-2.89989794902449
legitimate,29,com,-2.8006709658322184
legitimate,30,.dk,-2.734307838212948
legitimate,31,.ac.,-2.710279076468363
legitimate,32,rg,-2.710114706866368
legitimate,33,ac.,-2.6916174243827364
legitimate,34,or,-2.632261883235778
legitimate,35,.hu,-2.6249621887325425
legitimate,36,.es,-2.596457419548696
legitimate,37,.bg,-2.5268816120195905
legitimate,38,.no,-2.5236350469739888
legitimate,39,.pl,-2.493766292456359
legitimate,40,cz,-2.4076391845233864
legitimate,41,ca,-2.3634426135557804
legitimate,42,.at,-2.335044212686006
legitimate,43,.mil,-2.330450156391033
legitimate,44,s.com,-2.3272248820694474
legitimate,45,mag,-2.282973651116817
legitimate,46,.lt,-2.2580121905446573
legitimate,47,om,-2.217825516983041
legitimate,48,.j,-2.211697621567836
legitimate,49,air,-2.185011043613411
legitimate,50,.gov.,-2.1647110599906303
